Filename,Deterministic_MK,Stochastic_MK
job5_m4_607.json,58.00,58.00
job5_m4_608.json,61.00,61.00
job5_m3_609.json,86.00,86.00
job6_m4_610.json,71.00,71.00
job3_m3_611.json,45.00,45.00
job3_m4_612.json,48.00,48.00
job4_m3_613.json,62.00,62.00
job6_m3_614.json,75.00,75.00
job3_m4_615.json,43.00,43.00
job6_m3_616.json,89.00,89.00
job3_m4_617.json,50.00,50.00
job3_m4_618.json,31.00,31.00
job6_m4_619.json,73.00,73.00
job3_m3_620.json,55.00,55.00
job3_m4_621.json,36.00,36.00
job3_m4_622.json,51.00,51.00
job6_m4_623.json,65.00,65.00
job6_m4_624.json,58.00,58.00
job4_m4_625.json,57.00,57.00
job3_m4_626.json,55.00,55.00
job4_m3_627.json,57.00,57.00
job4_m4_628.json,52.00,52.00
job3_m4_629.json,51.00,51.00
job6_m3_630.json,90.00,90.00
job3_m3_631.json,49.00,49.00
job6_m3_632.json,89.00,89.00
job5_m4_633.json,64.00,64.00
job5_m3_634.json,67.00,67.00
job4_m3_635.json,67.00,67.00
job3_m3_636.json,40.00,40.00
job4_m3_637.json,49.00,49.00
job4_m4_638.json,44.00,44.00
job6_m4_639.json,83.00,83.00
job5_m3_640.json,77.00,77.00
job3_m4_641.json,50.00,50.00
job3_m3_642.json,57.00,57.00
job6_m4_643.json,64.00,64.00
job3_m3_644.json,55.00,55.00
job5_m3_645.json,82.00,82.00
job4_m3_646.json,61.00,61.00
job6_m3_647.json,89.00,89.00
job6_m3_648.json,86.00,86.00
job3_m4_649.json,50.00,50.00
job6_m4_650.json,69.00,69.00
job4_m4_651.json,57.00,57.00
job6_m3_652.json,81.00,81.00
job5_m4_653.json,62.00,62.00
job5_m3_654.json,77.00,77.00
job4_m3_655.json,49.00,49.00
job4_m3_656.json,66.00,66.00
job4_m3_657.json,52.00,52.00
job5_m3_658.json,70.00,70.00
job6_m3_659.json,86.00,86.00
job5_m3_660.json,78.00,78.00
job6_m3_661.json,73.00,73.00
job4_m4_662.json,47.00,47.00
job4_m3_663.json,60.00,60.00
job4_m4_664.json,46.00,46.00
job3_m4_665.json,43.00,43.00
job5_m3_666.json,71.00,71.00
job3_m3_667.json,51.00,51.00
job6_m4_668.json,76.00,76.00
job6_m3_669.json,96.00,96.00
job4_m3_670.json,59.00,59.00
job4_m3_671.json,48.00,48.00
job3_m4_672.json,39.00,39.00
job3_m4_673.json,56.00,56.00
job4_m4_674.json,48.00,48.00
job6_m3_675.json,101.00,101.00
job4_m4_676.json,54.00,54.00
job3_m3_677.json,59.00,59.00
job3_m3_678.json,57.00,57.00
job5_m4_679.json,66.00,66.00
job5_m4_680.json,59.00,59.00
job5_m3_681.json,68.00,68.00
job4_m3_682.json,67.00,67.00
job5_m4_683.json,61.00,61.00
job6_m4_684.json,77.00,77.00
job3_m3_685.json,51.00,51.00
job5_m4_686.json,62.00,62.00
job5_m4_687.json,63.00,63.00
job6_m3_688.json,70.00,70.00
job4_m4_689.json,51.00,51.00
job4_m4_690.json,53.00,53.00
job3_m4_691.json,45.00,45.00
job5_m4_692.json,57.00,57.00
job3_m4_693.json,42.00,42.00
